CD_GEOCODI	geosample
355030875000092	SÃO RAFAEL
355030875000093	SÃO RAFAEL
355030875000094	SÃO RAFAEL
355030875000095	SÃO RAFAEL
355030875000096	SÃO RAFAEL
355030875000097	SÃO RAFAEL
355030875000098	SÃO RAFAEL
355030875000099	SÃO RAFAEL
355030875000100	SÃO RAFAEL
355030875000101	SÃO RAFAEL
355030875000102	SÃO RAFAEL
355030875000103	SÃO RAFAEL
355030875000104	SÃO RAFAEL
355030875000105	SÃO RAFAEL
355030875000106	SÃO RAFAEL
355030875000107	SÃO RAFAEL
355030875000108	SÃO RAFAEL
355030875000109	SÃO RAFAEL
355030875000110	SÃO RAFAEL
355030875000111	SÃO RAFAEL
355030875000112	SÃO RAFAEL
355030875000113	SÃO RAFAEL
355030875000114	SÃO RAFAEL
355030875000115	SÃO RAFAEL
355030875000116	SÃO RAFAEL
355030875000117	SÃO RAFAEL
355030875000118	SÃO RAFAEL
355030875000119	SÃO RAFAEL
355030875000120	SÃO RAFAEL
355030875000121	SÃO RAFAEL
355030875000122	SÃO RAFAEL
355030875000123	SÃO RAFAEL
355030875000124	SÃO RAFAEL
355030875000125	SÃO RAFAEL
355030875000126	SÃO RAFAEL
355030875000127	SÃO RAFAEL
355030875000128	SÃO RAFAEL
355030875000129	SÃO RAFAEL
355030875000130	SÃO RAFAEL
355030875000131	SÃO RAFAEL
355030875000132	SÃO RAFAEL
355030875000133	SÃO RAFAEL
355030875000134	SÃO RAFAEL
355030875000135	SÃO RAFAEL
355030875000136	SÃO RAFAEL
355030875000137	SÃO RAFAEL
355030875000138	SÃO RAFAEL
355030875000139	SÃO RAFAEL
355030875000140	SÃO RAFAEL
355030875000141	SÃO RAFAEL
355030875000142	SÃO RAFAEL
355030875000143	SÃO RAFAEL
355030875000144	SÃO RAFAEL
355030875000145	SÃO RAFAEL
355030875000146	SÃO RAFAEL
355030875000147	SÃO RAFAEL
355030875000148	SÃO RAFAEL
355030875000149	SÃO RAFAEL
355030875000150	SÃO RAFAEL
355030875000151	SÃO RAFAEL
355030875000152	SÃO RAFAEL
355030875000153	SÃO RAFAEL
355030875000154	SÃO RAFAEL
355030875000155	SÃO RAFAEL
355030875000156	SÃO RAFAEL
355030875000157	SÃO RAFAEL
355030875000158	SÃO RAFAEL
355030875000159	SÃO RAFAEL
355030875000160	SÃO RAFAEL
355030875000161	SÃO RAFAEL
355030875000162	SÃO RAFAEL
355030875000163	SÃO RAFAEL
355030875000164	SÃO RAFAEL
355030875000165	SÃO RAFAEL
355030875000166	SÃO RAFAEL
355030875000167	SÃO RAFAEL
355030875000168	SÃO RAFAEL
355030875000169	SÃO RAFAEL
355030875000170	SÃO RAFAEL
355030875000171	SÃO RAFAEL
355030875000172	SÃO RAFAEL
355030875000173	SÃO RAFAEL
355030875000174	SÃO RAFAEL
355030875000175	SÃO RAFAEL
355030875000176	SÃO RAFAEL
355030875000177	SÃO RAFAEL
355030875000178	SÃO RAFAEL
355030875000179	SÃO RAFAEL
355030875000180	SÃO RAFAEL
355030875000181	SÃO RAFAEL
355030875000182	SÃO RAFAEL
355030875000183	SÃO RAFAEL
355030875000184	SÃO RAFAEL
355030875000185	SÃO RAFAEL
355030875000186	SÃO RAFAEL
355030875000187	SÃO RAFAEL
355030875000188	SÃO RAFAEL
355030875000189	SÃO RAFAEL
355030875000190	SÃO RAFAEL
355030875000191	SÃO RAFAEL
355030875000192	SÃO RAFAEL
355030875000193	SÃO RAFAEL
355030875000194	SÃO RAFAEL
355030875000195	SÃO RAFAEL
355030875000196	SÃO RAFAEL
355030875000197	SÃO RAFAEL
355030875000198	SÃO RAFAEL
355030875000199	SÃO RAFAEL
355030875000200	SÃO RAFAEL
355030875000201	SÃO RAFAEL
355030875000202	SÃO RAFAEL
355030875000203	SÃO RAFAEL
355030875000204	SÃO RAFAEL
355030875000205	SÃO RAFAEL
355030875000206	SÃO RAFAEL
355030875000207	SÃO RAFAEL
355030875000208	SÃO RAFAEL
355030875000209	SÃO RAFAEL
355030875000210	SÃO RAFAEL
355030875000211	SÃO RAFAEL
355030875000212	SÃO RAFAEL
355030876000001	SAPOPEMBA
355030876000002	SAPOPEMBA
355030876000003	SAPOPEMBA
355030876000004	SAPOPEMBA
355030876000005	SAPOPEMBA
355030876000006	SAPOPEMBA
355030876000007	SAPOPEMBA
355030876000008	SAPOPEMBA
355030876000009	SAPOPEMBA
355030876000010	SAPOPEMBA
355030876000011	SAPOPEMBA
355030876000012	SAPOPEMBA
355030876000013	SAPOPEMBA
355030876000014	SAPOPEMBA
355030876000015	SAPOPEMBA
355030876000016	SAPOPEMBA
355030876000017	SAPOPEMBA
355030876000018	SAPOPEMBA
355030876000019	SAPOPEMBA
355030876000020	SAPOPEMBA
355030876000021	SAPOPEMBA
355030876000022	SAPOPEMBA
355030876000023	SAPOPEMBA
355030876000024	SAPOPEMBA
355030876000025	SAPOPEMBA
355030876000026	SAPOPEMBA
355030876000027	SAPOPEMBA
355030876000028	SAPOPEMBA
355030876000029	SAPOPEMBA
355030876000030	SAPOPEMBA
355030876000031	SAPOPEMBA
355030876000032	SAPOPEMBA
355030876000033	SAPOPEMBA
355030876000034	SAPOPEMBA
355030876000035	SAPOPEMBA
355030876000036	SAPOPEMBA
355030876000037	SAPOPEMBA
355030876000038	SAPOPEMBA
355030876000039	SAPOPEMBA
355030876000040	SAPOPEMBA
355030876000041	SAPOPEMBA
355030876000042	SAPOPEMBA
355030876000043	SAPOPEMBA
355030876000044	SAPOPEMBA
355030876000045	SAPOPEMBA
355030876000046	SAPOPEMBA
355030876000047	SAPOPEMBA
355030876000048	SAPOPEMBA
355030876000049	SAPOPEMBA
355030876000050	SAPOPEMBA
355030876000051	SAPOPEMBA
355030876000052	SAPOPEMBA
355030876000053	SAPOPEMBA
355030876000054	SAPOPEMBA
355030876000055	SAPOPEMBA
355030876000056	SAPOPEMBA
355030876000057	SAPOPEMBA
355030876000058	SAPOPEMBA
355030876000059	SAPOPEMBA
355030876000060	SAPOPEMBA
355030876000061	SAPOPEMBA
355030876000062	SAPOPEMBA
355030876000063	SAPOPEMBA
355030876000064	SAPOPEMBA
355030876000065	SAPOPEMBA
355030876000066	SAPOPEMBA
355030876000067	SAPOPEMBA
355030876000068	SAPOPEMBA
355030876000069	SAPOPEMBA
355030876000070	SAPOPEMBA
355030876000071	SAPOPEMBA
355030876000072	SAPOPEMBA
355030876000073	SAPOPEMBA
355030876000074	SAPOPEMBA
355030876000075	SAPOPEMBA
355030876000076	SAPOPEMBA
355030876000077	SAPOPEMBA
355030876000078	SAPOPEMBA
355030876000079	SAPOPEMBA
355030876000080	SAPOPEMBA
355030876000081	SAPOPEMBA
355030876000082	SAPOPEMBA
355030876000083	SAPOPEMBA
355030876000084	SAPOPEMBA
355030876000085	SAPOPEMBA
355030876000086	SAPOPEMBA
355030876000087	SAPOPEMBA
355030876000088	SAPOPEMBA
355030876000089	SAPOPEMBA
355030876000090	SAPOPEMBA
355030876000091	SAPOPEMBA
355030876000092	SAPOPEMBA
355030876000093	SAPOPEMBA
355030876000094	SAPOPEMBA
355030876000095	SAPOPEMBA
355030876000096	SAPOPEMBA
355030876000097	SAPOPEMBA
355030876000098	SAPOPEMBA
355030876000099	SAPOPEMBA
355030876000100	SAPOPEMBA
355030876000101	SAPOPEMBA
355030876000102	SAPOPEMBA
355030876000103	SAPOPEMBA
355030876000104	SAPOPEMBA
355030876000105	SAPOPEMBA
355030876000106	SAPOPEMBA
355030876000107	SAPOPEMBA
355030876000108	SAPOPEMBA
355030876000109	SAPOPEMBA
355030876000110	SAPOPEMBA
355030876000111	SAPOPEMBA
355030876000112	SAPOPEMBA
355030876000113	SAPOPEMBA
355030876000114	SAPOPEMBA
355030876000115	SAPOPEMBA
355030876000116	SAPOPEMBA
355030876000117	SAPOPEMBA
355030876000118	SAPOPEMBA
355030876000119	SAPOPEMBA
355030876000120	SAPOPEMBA
355030876000121	SAPOPEMBA
355030876000122	SAPOPEMBA
355030876000123	SAPOPEMBA
355030876000124	SAPOPEMBA
355030876000125	SAPOPEMBA
355030876000126	SAPOPEMBA
355030876000127	SAPOPEMBA
355030876000128	SAPOPEMBA
355030876000129	SAPOPEMBA
355030876000130	SAPOPEMBA
355030876000131	SAPOPEMBA
355030876000132	SAPOPEMBA
355030876000133	SAPOPEMBA
355030876000134	SAPOPEMBA
355030876000135	SAPOPEMBA
355030876000136	SAPOPEMBA
355030876000137	SAPOPEMBA
355030876000138	SAPOPEMBA
355030876000139	SAPOPEMBA
355030876000140	SAPOPEMBA
355030876000141	SAPOPEMBA
355030876000142	SAPOPEMBA
355030876000143	SAPOPEMBA
355030876000144	SAPOPEMBA
355030876000145	SAPOPEMBA
355030876000146	SAPOPEMBA
355030876000147	SAPOPEMBA
355030876000148	SAPOPEMBA
355030876000149	SAPOPEMBA
355030876000150	SAPOPEMBA
355030876000151	SAPOPEMBA
355030876000152	SAPOPEMBA
355030876000153	SAPOPEMBA
355030876000154	SAPOPEMBA
355030876000155	SAPOPEMBA
355030876000156	SAPOPEMBA
355030876000157	SAPOPEMBA
355030876000158	SAPOPEMBA
355030876000159	SAPOPEMBA
355030876000160	SAPOPEMBA
355030876000161	SAPOPEMBA
355030876000162	SAPOPEMBA
355030876000163	SAPOPEMBA
355030876000164	SAPOPEMBA
355030876000165	SAPOPEMBA
355030876000166	SAPOPEMBA
355030876000167	SAPOPEMBA
355030876000168	SAPOPEMBA
355030876000169	SAPOPEMBA
355030876000170	SAPOPEMBA
355030876000171	SAPOPEMBA
355030876000172	SAPOPEMBA
355030876000173	SAPOPEMBA
355030876000174	SAPOPEMBA
355030876000175	SAPOPEMBA
355030876000176	SAPOPEMBA
355030876000177	SAPOPEMBA
355030876000178	SAPOPEMBA
355030876000179	SAPOPEMBA
355030876000180	SAPOPEMBA
355030876000181	SAPOPEMBA
355030876000182	SAPOPEMBA
355030876000183	SAPOPEMBA
355030876000184	SAPOPEMBA
355030876000185	SAPOPEMBA
355030876000186	SAPOPEMBA
355030876000187	SAPOPEMBA
355030876000188	SAPOPEMBA
355030876000189	SAPOPEMBA
355030876000190	SAPOPEMBA
355030876000191	SAPOPEMBA
355030876000192	SAPOPEMBA
355030876000193	SAPOPEMBA
355030876000194	SAPOPEMBA
355030876000195	SAPOPEMBA
355030876000196	SAPOPEMBA
355030876000197	SAPOPEMBA
355030876000198	SAPOPEMBA
355030876000199	SAPOPEMBA
355030876000200	SAPOPEMBA
355030876000201	SAPOPEMBA
355030876000202	SAPOPEMBA
355030876000203	SAPOPEMBA
355030876000204	SAPOPEMBA
355030876000205	SAPOPEMBA
355030876000206	SAPOPEMBA
355030876000207	SAPOPEMBA
355030876000208	SAPOPEMBA
355030876000209	SAPOPEMBA
355030876000210	SAPOPEMBA
355030876000211	SAPOPEMBA
355030876000212	SAPOPEMBA
355030876000213	SAPOPEMBA
355030876000214	SAPOPEMBA
355030876000215	SAPOPEMBA
355030876000216	SAPOPEMBA
355030876000217	SAPOPEMBA
355030876000218	SAPOPEMBA
355030876000219	SAPOPEMBA
355030876000220	SAPOPEMBA
355030876000221	SAPOPEMBA
355030876000222	SAPOPEMBA
355030876000223	SAPOPEMBA
355030876000224	SAPOPEMBA
355030876000225	SAPOPEMBA
355030876000226	SAPOPEMBA
355030876000227	SAPOPEMBA
355030876000228	SAPOPEMBA
